Term,Coef,SE Coef,95% CI,T-Value,P-Value
  SD,1.792,0.274,"(1.255, 2.328)",6.55,0
  TN,0.2777,0.0542,"(0.1715, 0.3839)",5.13,0
  TX,0.5026,0.0523,"(0.4002, 0.6051)",9.62,0
  UT,-0.2267,0.0481,"(-0.3210, -0.1325)",-4.72,0
  VA,0.292,0.0484,"(0.1970, 0.3869)",6.03,0
  VT,-0.3213,0.081,"(-0.4800, -0.1626)",-3.97,0
  WA,0.2796,0.0532,"(0.1752, 0.3839)",5.25,0
  WI,0.9076,0.0599,"(0.7902, 1.0250)",15.15,0
  WV,0.0593,0.0692,"(-0.0762, 0.1949)",0.86,0.391
  WY,0.125,0.275,"(-0.414, 0.665)",0.46,0.649
Wind_Direction, , , , , 
  E,-0.00689,0.00597,"(-0.01859, 0.00482)",-1.15,0.249
  East,-0.0106,0.0207,"(-0.0511, 0.0300)",-0.51,0.61
  ENE,0.00028,0.00694,"(-0.01333, 0.01389)",0.04,0.967
  ESE,-0.00084,0.00672,"(-0.01400, 0.01232)",-0.13,0.9
  N,0.00132,0.00574,"(-0.00994, 0.01258)",0.23,0.818
  NE,-0.01901,0.00733,"(-0.03337, -0.00465)",-2.59,0.009
  NNE,-0.00584,0.00726,"(-0.02007, 0.00838)",-0.81,0.421
  NNW,0.00537,0.00594,"(-0.00626, 0.01701)",0.9,0.366
  North,0.021,0.0185,"(-0.0153, 0.0573)",1.13,0.257
  NW,-0.01262,0.00561,"(-0.02361, -0.00163)",-2.25,0.024
  S,-0.0093,0.00532,"(-0.01973, 0.00113)",-1.75,0.08
  SE,-0.01543,0.00632,"(-0.02782, -0.00304)",-2.44,0.015
  South,-0.0086,0.0179,"(-0.0437, 0.0265)",-0.48,0.631
  SSE,0.00131,0.00601,"(-0.01046, 0.01309)",0.22,0.827
  SSW,-0.00825,0.006,"(-0.02002, 0.00351)",-1.37,0.169
  SW,-0.00152,0.00612,"(-0.01353, 0.01048)",-0.25,0.804
  VAR,-0.01017,0.00516,"(-0.02029, -0.00006)",-1.97,0.049
  Variable,-0.0113,0.042,"(-0.0937, 0.0710)",-0.27,0.787
  W,0.00517,0.00498,"(-0.00460, 0.01493)",1.04,0.3
  West,0.0507,0.0247,"(0.0023, 0.0991)",2.05,0.04
  WNW,-0.00216,0.00556,"(-0.01305, 0.00873)",-0.39,0.697
  WSW,0.0024,0.00579,"(-0.00895, 0.01375)",0.41,0.678
Start_Hour, , , , , 
1,-0.0966,0.0115,"(-0.1190, -0.0741)",-8.43,0
2,-0.0836,0.0113,"(-0.1058, -0.0614)",-7.39,0
3,-0.0954,0.0116,"(-0.1182, -0.0726)",-8.2,0
4,-0.0689,0.0114,"(-0.0913, -0.0465)",-6.03,0
5,-0.165,0.0103,"(-0.1852, -0.1448)",-16.02,0
6,-0.2218,0.0101,"(-0.2416, -0.2021)",-22,0
7,-0.241,0.0102,"(-0.2610, -0.2210)",-23.6,0
8,-0.24,0.0103,"(-0.2603, -0.2198)",-23.24,0
9,-0.2206,0.0105,"(-0.2412, -0.2000)",-21.01,0
10,-0.1758,0.0107,"(-0.1968, -0.1549)",-16.44,0
11,-0.1749,0.0108,"(-0.1960, -0.1538)",-16.27,0
12,-0.1795,0.0116,"(-0.2023, -0.1568)",-15.45,0
13,-0.1895,0.0105,"(-0.2101, -0.1689)",-18,0
14,-0.1939,0.0104,"(-0.2143, -0.1735)",-18.62,0
15,-0.1967,0.0103,"(-0.2167, -0.1766)",-19.19,0
16,-0.2115,0.0101,"(-0.2313, -0.1917)",-20.97,0
17,-0.21703,0.00969,"(-0.23603, -0.19803)",-22.39,0
18,-0.20903,0.00919,"(-0.22705, -0.19101)",-22.73,0
19,-0.18727,0.00912,"(-0.20515, -0.16940)",-20.53,0
20,-0.16415,0.00921,"(-0.18219, -0.14611)",-17.83,0
21,-0.0899,0.00939,"(-0.10831, -0.07149)",-9.57,0
22,-0.13239,0.00965,"(-0.15130, -0.11348)",-13.72,0
23,-0.0912,0.0112,"(-0.1131, -0.0693)",-8.17,0
Month, , , , , 
2,-0.0024,0.0126,"(-0.0272, 0.0223)",-0.19,0.848
3,0.0259,0.0173,"(-0.0080, 0.0598)",1.5,0.134
4,0.0202,0.0134,"(-0.0061, 0.0465)",1.5,0.132
5,0.0471,0.0137,"(0.0203, 0.0739)",3.45,0.001
6,0.0255,0.0139,"(-0.0018, 0.0528)",1.83,0.067
7,0.0445,0.014,"(0.0171, 0.0720)",3.18,0.001
8,0.0286,0.0137,"(0.0016, 0.0555)",2.08,0.038
9,-0.0087,0.0133,"(-0.0348, 0.0174)",-0.65,0.515
10,-0.0223,0.0131,"(-0.0479, 0.0034)",-1.7,0.089
11,-0.0141,0.0131,"(-0.0398, 0.0115)",-1.08,0.28
12,-0.0211,0.0128,"(-0.0461, 0.0040)",-1.65,0.1
Weather_Condition, , , , , 
  Blowing Dust / Windy,0.012,0.116,"(-0.216, 0.240)",0.1,0.918
  Blowing Snow,0.331,0.204,"(-0.069, 0.730)",1.62,0.105
  Blowing Snow / Windy,-0.523,0.29,"(-1.090, 0.045)",-1.8,0.071
  Clear,-0.121,0.104,"(-0.325, 0.082)",-1.17,0.242
  Cloudy,0.0076,0.0714,"(-0.1323, 0.1476)",0.11,0.915
  Cloudy / Windy,-0.0138,0.0739,"(-0.1586, 0.1311)",-0.19,0.852
  Drizzle,-0.0095,0.0822,"(-0.1707, 0.1517)",-0.12,0.908
  Drizzle and Fog,0.524,0.209,"(0.115, 0.933)",2.51,0.012
  Fair,0.0123,0.0713,"(-0.1274, 0.1521)",0.17,0.863
  Fair / Windy,-0.0103,0.0725,"(-0.1523, 0.1318)",-0.14,0.887
  Fog,-0.0003,0.072,"(-0.1413, 0.1407)",0,0.997
  Fog / Windy,0.078,0.113,"(-0.143, 0.299)",0.69,0.49
  Freezing Rain,0.048,0.132,"(-0.210, 0.305)",0.36,0.717
  Haze,0.0119,0.0719,"(-0.1289, 0.1528)",0.17,0.868
  Haze / Windy,0.01,0.103,"(-0.192, 0.212)",0.1,0.921
  Heavy Drizzle,-0.015,0.172,"(-0.352, 0.322)",-0.09,0.93
  Heavy Rain,-0.0356,0.0733,"(-0.1793, 0.1081)",-0.49,0.627
  Heavy Rain / Windy,0.007,0.102,"(-0.194, 0.207)",0.06,0.949
  Heavy Snow,0.0452,0.0816,"(-0.1148, 0.2051)",0.55,0.58
  Heavy Snow / Windy,0.276,0.202,"(-0.120, 0.673)",1.36,0.172
  Heavy Snow with Thunder,0.587,0.471,"(-0.336, 1.510)",1.25,0.212
  Heavy T-Storm,-0.0697,0.0826,"(-0.2315, 0.0922)",-0.84,0.399
  Heavy T-Storm / Windy,-0.062,0.122,"(-0.300, 0.176)",-0.51,0.611
  Heavy Thunderstorms and Rain,0.442,0.387,"(-0.317, 1.202)",1.14,0.254
  Ice Pellets,-0.538,0.152,"(-0.835, -0.240)",-3.54,0
  Light Drizzle,-0.0514,0.0756,"(-0.1996, 0.0969)",-0.68,0.497
  Light Drizzle / Windy,0.167,0.148,"(-0.124, 0.458)",1.12,0.262
  Light Freezing Drizzle,-0.104,0.103,"(-0.306, 0.098)",-1.01,0.313
  Light Freezing Fog,-0.175,0.174,"(-0.516, 0.167)",-1,0.316
  Light Freezing Rain,0.0134,0.0779,"(-0.1393, 0.1661)",0.17,0.864
  Light Ice Pellets,-0.545,0.136,"(-0.812, -0.279)",-4.01,0
  Light Rain,-0.0031,0.0715,"(-0.1433, 0.1372)",-0.04,0.966
  Light Rain / Windy,0.027,0.0761,"(-0.1220, 0.1761)",0.36,0.722
  Light Rain Shower,0.209,0.141,"(-0.067, 0.484)",1.48,0.139
  Light Rain with Thunder,-0.011,0.0772,"(-0.1622, 0.1403)",-0.14,0.887
  Light Snow,0.0052,0.0719,"(-0.1356, 0.1461)",0.07,0.942
  Light Snow / Windy,0.0362,0.0793,"(-0.1191, 0.1916)",0.46,0.648
  Light Snow and Sleet,-0.008,0.444,"(-0.879, 0.863)",-0.02,0.986
  Light Snow with Thunder,-0.102,0.431,"(-0.946, 0.743)",-0.24,0.814
  Light Thunderstorms and Rain,0.349,0.387,"(-0.409, 1.108)",0.9,0.367
  Mist,-0.0183,0.0884,"(-0.1916, 0.1549)",-0.21,0.836
  Mostly Cloudy,0.0085,0.0714,"(-0.1314, 0.1485)",0.12,0.905
  Mostly Cloudy / Windy,-0.0163,0.0748,"(-0.1628, 0.1302)",-0.22,0.827
  N/A Precipitation,-0.032,0.102,"(-0.232, 0.169)",-0.31,0.757
  Overcast,-0.0034,0.0729,"(-0.1464, 0.1395)",-0.05,0.963
  Partial Fog,0.003,0.388,"(-0.757, 0.764)",0.01,0.993
  Partly Cloudy,0.0031,0.0714,"(-0.1368, 0.1429)",0.04,0.965
  Partly Cloudy / Windy,0.0086,0.0751,"(-0.1386, 0.1559)",0.11,0.909
  Patches of Fog,-0.023,0.091,"(-0.2014, 0.1554)",-0.25,0.801
  Rain,-0.007,0.0721,"(-0.1483, 0.1344)",-0.1,0.923
  Rain / Windy,-0.0329,0.0841,"(-0.1976, 0.1318)",-0.39,0.696
  Sand / Dust Whirlwinds,-0.244,0.278,"(-0.789, 0.301)",-0.88,0.38
  Scattered Clouds,0.109,0.101,"(-0.089, 0.308)",1.08,0.279
  Shallow Fog,0.013,0.101,"(-0.186, 0.212)",0.13,0.9
  Showers in the Vicinity,-0.0121,0.0965,"(-0.2012, 0.1770)",-0.13,0.9
  Sleet,-0.017,0.278,"(-0.563, 0.528)",-0.06,0.95
  Small Hail,0.017,0.232,"(-0.437, 0.471)",0.07,0.942
  Smoke,0.0056,0.0749,"(-0.1413, 0.1525)",0.07,0.94
  Snow,0.0512,0.074,"(-0.0938, 0.1961)",0.69,0.489
  Snow / Windy,0.112,0.124,"(-0.132, 0.356)",0.9,0.368
  Snow and Sleet,-0.001,0.322,"(-0.633, 0.631)",0,0.998
  Snow and Sleet / Windy,-0.041,0.387,"(-0.800, 0.717)",-0.11,0.915
  T-Storm,0.0831,0.0772,"(-0.0682, 0.2343)",1.08,0.282
  T-Storm / Windy,-0.116,0.136,"(-0.382, 0.150)",-0.85,0.394
  Thunder,-0.0607,0.0786,"(-0.2147, 0.0933)",-0.77,0.44
  Thunder / Windy,-0.145,0.128,"(-0.397, 0.106)",-1.13,0.257
  Thunder in the Vicinity,-0.094,0.0762,"(-0.2433, 0.0553)",-1.23,0.217
  Thunderstorms and Rain,-0.24,0.281,"(-0.791, 0.310)",-0.86,0.393
  Wintry Mix,0.0445,0.0759,"(-0.1043, 0.1932)",0.59,0.558
  Wintry Mix / Windy,0.517,0.391,"(-0.249, 1.284)",1.32,0.186
Distance_squared,-0.001026,0.000028,"(-0.001081, -0.000970)",-36.03,0
City, , , , , 
  Aberdeen,-1.252,0.419,"(-2.074, -0.430)",-2.99,0.003
  Aberdeen Proving Ground,-1.91,0.542,"(-2.971, -0.848)",-3.52,0
  Abingdon,-1.286,0.428,"(-2.125, -0.447)",-3.01,0.003
  Absecon,-0.535,0.414,"(-1.346, 0.275)",-1.29,0.196
  Acampo,-0.833,0.386,"(-1.590, -0.076)",-2.16,0.031
  Accomac,0.077,0.468,"(-0.840, 0.993)",0.16,0.87
  Acme,-1.78,0.42,"(-2.604, -0.957)",-4.24,0
  Acton,-0.851,0.384,"(-1.603, -0.099)",-2.22,0.027
  Acworth,-0.703,0.404,"(-1.494, 0.088)",-1.74,0.081
  Ada,-1.617,0.539,"(-2.674, -0.560)",-3,0.003
  Adair,-1.735,0.471,"(-2.658, -0.813)",-3.69,0
  Adair Village,-0.835,0.539,"(-1.891, 0.222)",-1.55,0.122
  Adairsville,-1.356,0.468,"(-2.274, -0.439)",-2.9,0.004
  Adams,-0.959,0.393,"(-1.729, -0.189)",-2.44,0.015
  Adamstown,-0.226,0.414,"(-1.038, 0.586)",-0.55,0.585
  Addison,-1.131,0.404,"(-1.922, -0.340)",-2.8,0.005
  Adel,-0.86,0.387,"(-1.618, -0.102)",-2.22,0.026
  Adelphi,-1.743,0.54,"(-2.803, -0.684)",-3.23,0.001
  Adrian,-0.843,0.391,"(-1.609, -0.077)",-2.16,0.031
  Advance,-1.067,0.468,"(-1.985, -0.149)",-2.28,0.023
  Afton,-0.077,0.399,"(-0.860, 0.705)",-0.19,0.847
  Agency,0.43,0.542,"(-0.633, 1.492)",0.79,0.428
  Agoura Hills,-0.817,0.385,"(-1.573, -0.062)",-2.12,0.034
  Aguilar,-1.043,0.468,"(-1.960, -0.125)",-2.23,0.026
  Ahoskie,-0.373,0.442,"(-1.239, 0.493)",-0.84,0.399
  Ahwahnee,-0.864,0.539,"(-1.921, 0.192)",-1.6,0.109
  Ainsworth,-1.533,0.543,"(-2.597, -0.469)",-2.82,0.005
  Aitkin,-0.816,0.39,"(-1.580, -0.053)",-2.1,0.036
  Ajo,-1.667,0.54,"(-2.726, -0.608)",-3.09,0.002
  Akeley,-0.801,0.413,"(-1.610, 0.008)",-1.94,0.052
  Akron,-1.703,0.442,"(-2.570, -0.835)",-3.85,0
  Alabaster,-1.054,0.541,"(-2.114, 0.006)",-1.95,0.051
  Alachua,-0.942,0.414,"(-1.753, -0.131)",-2.28,0.023
  Alameda,-0.953,0.539,"(-2.009, 0.104)",-1.77,0.077
  Alamo,-0.849,0.384,"(-1.602, -0.096)",-2.21,0.027
  Alamosa,-0.868,0.54,"(-1.926, 0.189)",-1.61,0.108
  Albany,-0.83,0.383,"(-1.580, -0.079)",-2.17,0.03
  Albert Lea,-0.817,0.386,"(-1.574, -0.059)",-2.11,0.035
  Albion,-0.966,0.405,"(-1.760, -0.171)",-2.38,0.017
  Albuquerque,-1.199,0.413,"(-2.009, -0.390)",-2.9,0.004
  Alburgh,-0.233,0.472,"(-1.159, 0.692)",-0.49,0.621
  Alden,-0.841,0.419,"(-1.661, -0.020)",-2.01,0.045
  Aldie,-0.685,0.441,"(-1.550, 0.179)",-1.55,0.12
  Aledo,-0.974,0.442,"(-1.840, -0.108)",-2.21,0.027
  Alexandria,-0.773,0.385,"(-1.527, -0.020)",-2.01,0.044
  Alford,-1.556,0.54,"(-2.615, -0.498)",-2.88,0.004
  Alhambra,-0.824,0.383,"(-1.575, -0.072)",-2.15,0.032
  Aliceville,0.955,0.541,"(-0.105, 2.014)",1.77,0.077
  Aliquippa,-0.016,0.469,"(-0.935, 0.903)",-0.03,0.972
  Aliso Viejo,-0.719,0.413,"(-1.528, 0.090)",-1.74,0.081
  Allegan,0.428,0.539,"(-0.629, 1.485)",0.79,0.428
  Allen,-0.408,0.419,"(-1.230, 0.414)",-0.97,0.331
  Allen Park,-1.027,0.398,"(-1.807, -0.247)",-2.58,0.01
  Allendale,-1.626,0.442,"(-2.492, -0.761)",-3.68,0
  Allenton,0.007,0.439,"(-0.853, 0.866)",0.02,0.988
  Allentown,-0.721,0.404,"(-1.514, 0.071)",-1.78,0.074
  Allston,-0.382,0.443,"(-1.250, 0.486)",-0.86,0.388
  Alma,-1.464,0.444,"(-2.334, -0.594)",-3.3,0.001
  Almont,0.4,0.539,"(-0.656, 1.457)",0.74,0.458
  Alpena,-0.347,0.54,"(-1.406, 0.712)",-0.64,0.521
  Alpharetta,-0.919,0.402,"(-1.706, -0.131)",-2.29,0.022
  Alpine,0.274,0.54,"(-0.784, 1.332)",0.51,0.611
  Alpine Meadows,-0.938,0.427,"(-1.775, -0.100)",-2.19,0.028
  Alsea,-0.835,0.391,"(-1.602, -0.068)",-2.13,0.033
  Alsip,-0.712,0.413,"(-1.522, 0.098)",-1.72,0.085
  Alta,-0.904,0.388,"(-1.665, -0.143)",-2.33,0.02
  Altamont,0.017,0.441,"(-0.849, 0.882)",0.04,0.97
  Altamonte Springs,-0.925,0.395,"(-1.699, -0.152)",-2.34,0.019
  Alto,0.114,0.468,"(-0.802, 1.031)",0.24,0.807
  Alton,-0.833,0.393,"(-1.603, -0.062)",-2.12,0.034
  Altoona,-0.893,0.405,"(-1.686, -0.100)",-2.21,0.027
  Alturas,-0.711,0.396,"(-1.487, 0.064)",-1.8,0.072
  Alum Creek,-1.218,0.542,"(-2.279, -0.156)",-2.25,0.025
  Alva,0.576,0.54,"(-0.482, 1.634)",1.07,0.286
  Amana,0.441,0.542,"(-0.621, 1.503)",0.81,0.416
  Amargosa Valley,-0.055,0.556,"(-1.144, 1.035)",-0.1,0.921
  Amarillo,0.304,0.442,"(-0.562, 1.169)",0.69,0.492
  Ambler,0.228,0.469,"(-0.691, 1.147)",0.49,0.627
  Ambridge,-0.105,0.469,"(-1.024, 0.814)",-0.22,0.823
  Amelia Court House,-0.069,0.409,"(-0.871, 0.732)",-0.17,0.866
  American Canyon,-0.894,0.386,"(-1.651, -0.138)",-2.32,0.02
  American Fork,-0.855,0.39,"(-1.619, -0.092)",-2.2,0.028
  American Fork-Pleasant Grove,-0.908,0.539,"(-1.965, 0.149)",-1.68,0.092
  Americus,0.032,0.468,"(-0.885, 0.950)",0.07,0.945
  Ames,0.339,0.471,"(-0.583, 1.262)",0.72,0.471
  Amherst,-0.096,0.413,"(-0.906, 0.714)",-0.23,0.816
  Amity,-0.642,0.389,"(-1.404, 0.120)",-1.65,0.099
  Amityville,-1.324,0.541,"(-2.384, -0.264)",-2.45,0.014
  Amsterdam,0.458,0.413,"(-0.352, 1.267)",1.11,0.268
  Anacortes,-0.248,0.419,"(-1.070, 0.574)",-0.59,0.555
  Anaheim,-0.829,0.383,"(-1.578, -0.079)",-2.17,0.03
  Anamosa,0.427,0.471,"(-0.496, 1.349)",0.91,0.364
  Anatone,-0.592,0.468,"(-1.510, 0.326)",-1.26,0.206
  Ancram,-1.362,0.539,"(-2.419, -0.305)",-2.53,0.012
  Andalusia,-1.089,0.469,"(-2.008, -0.169)",-2.32,0.02
  Anderson,-0.704,0.386,"(-1.461, 0.053)",-1.82,0.068
  Andersonville,-1.469,0.54,"(-2.527, -0.411)",-2.72,0.007
  Andover,-0.231,0.399,"(-1.013, 0.550)",-0.58,0.562
  Andrews,0.203,0.468,"(-0.716, 1.121)",0.43,0.665
  Andrews Air Force Base,-1.754,0.54,"(-2.813, -0.695)",-3.25,0.001
  Angels Camp,-0.77,0.391,"(-1.537, -0.003)",-1.97,0.049
  Angier,0.486,0.468,"(-0.432, 1.404)",1.04,0.299
  Angleton,-0.34,0.414,"(-1.150, 0.471)",-0.82,0.411
  Angola,-1.485,0.539,"(-2.542, -0.428)",-2.75,0.006
  Angwin,-0.843,0.467,"(-1.759, 0.074)",-1.8,0.072
  Ankeny,-0.78,0.444,"(-1.651, 0.091)",-1.76,0.079
  Ann Arbor,-0.871,0.387,"(-1.629, -0.114)",-2.25,0.024
  Annandale,-0.857,0.397,"(-1.635, -0.079)",-2.16,0.031
  Annapolis,-1.227,0.391,"(-1.992, -0.461)",-3.14,0.002
  Anniston,-1.104,0.541,"(-2.164, -0.045)",-2.04,0.041
  Annville,-0.221,0.469,"(-1.140, 0.698)",-0.47,0.638
  Anoka,-0.799,0.39,"(-1.564, -0.033)",-2.05,0.041
  Ansonia,-0.205,0.468,"(-1.123, 0.713)",-0.44,0.661
  Antelope,-0.693,0.389,"(-1.455, 0.068)",-1.78,0.074
  Antioch,-0.871,0.384,"(-1.623, -0.119)",-2.27,0.023
  Apache Junction,-0.452,0.428,"(-1.292, 0.388)",-1.05,0.292
  Apex,-0.891,0.414,"(-1.702, -0.080)",-2.15,0.031
  Apollo Beach,-1.682,0.468,"(-2.600, -0.764)",-3.59,0
  Apopka,-0.581,0.396,"(-1.358, 0.195)",-1.47,0.142
  Apple Valley,-0.949,0.409,"(-1.750, -0.147)",-2.32,0.02
  Applegate,-0.868,0.413,"(-1.677, -0.059)",-2.1,0.035
  Appleton,-1.045,0.4,"(-1.830, -0.260)",-2.61,0.009
  Appling,-2.005,0.54,"(-3.062, -0.947)",-3.71,0
  Aptos,-0.81,0.385,"(-1.564, -0.056)",-2.1,0.035
  Arbuckle,-0.876,0.396,"(-1.651, -0.100)",-2.21,0.027
  Arcadia,-0.824,0.384,"(-1.577, -0.071)",-2.14,0.032
  Arcata,-0.884,0.391,"(-1.651, -0.117)",-2.26,0.024
  Arch Cape,-0.786,0.398,"(-1.566, -0.006)",-1.98,0.048
  Ardmore,-0.425,0.419,"(-1.247, 0.396)",-1.01,0.31
  Ardsley,0.129,0.441,"(-0.736, 0.994)",0.29,0.769
  Argyle,-0.516,0.413,"(-1.325, 0.293)",-1.25,0.211
  Ariel,0.371,0.54,"(-0.687, 1.429)",0.69,0.492
  Arimo,-1.098,0.546,"(-2.169, -0.027)",-2.01,0.045
  Arkadelphia,-0.141,0.444,"(-1.010, 0.729)",-0.32,0.751
  Arkdale,-0.069,0.537,"(-1.122, 0.984)",-0.13,0.897
  Arlee,0.574,0.551,"(-0.505, 1.653)",1.04,0.297
  Arlington,-0.921,0.383,"(-1.672, -0.171)",-2.41,0.016
  Arlington Heights,-1.44,0.428,"(-2.278, -0.602)",-3.37,0.001
  Armona,-0.869,0.427,"(-1.706, -0.032)",-2.04,0.042
  Armonk,-1.455,0.419,"(-2.276, -0.634)",-3.47,0.001
  Arnold,-0.72,0.392,"(-1.489, 0.049)",-1.84,0.066
  Aromas,-0.872,0.388,"(-1.632, -0.112)",-2.25,0.025
  Arriba,-0.732,0.54,"(-1.789, 0.326)",-1.36,0.175
  Arrington,0.179,0.54,"(-0.880, 1.237)",0.33,0.741
  Arroyo Grande,-0.871,0.386,"(-1.629, -0.114)",-2.26,0.024
  Artesia,-0.841,0.385,"(-1.596, -0.087)",-2.19,0.029
  Arvada,-0.935,0.392,"(-1.703, -0.168)",-2.39,0.017
  Arvin,-0.875,0.387,"(-1.633, -0.117)",-2.26,0.024
  Asbury,-0.709,0.404,"(-1.501, 0.082)",-1.76,0.079
  Asbury Park,-0.653,0.468,"(-1.571, 0.264)",-1.4,0.163
  Ash Fork,-0.719,0.429,"(-1.559, 0.121)",-1.68,0.094
  Ashaway,0.972,0.545,"(-0.095, 2.040)",1.78,0.074
  Ashburn,-0.413,0.419,"(-1.234, 0.408)",-0.99,0.324
  Ashby,-0.776,0.405,"(-1.571, 0.018)",-1.91,0.056
  Asheboro,0.43,0.54,"(-0.629, 1.488)",0.8,0.426
  Asheville,-1.262,0.391,"(-2.029, -0.496)",-3.23,0.001
  Ashford,0.45,0.54,"(-0.608, 1.508)",0.83,0.404
  Ashland,-0.926,0.383,"(-1.677, -0.175)",-2.42,0.016
  Ashton,-1.304,0.475,"(-2.236, -0.373)",-2.74,0.006
  Ashville,0.529,0.468,"(-0.388, 1.445)",1.13,0.259
  Askov,-0.805,0.467,"(-1.721, 0.111)",-1.72,0.085
  Assaria,-1.536,0.543,"(-2.601, -0.472)",-2.83,0.005
  Aston,-1.477,0.42,"(-2.300, -0.653)",-3.52,0
  Astoria,-0.783,0.383,"(-1.535, -0.032)",-2.04,0.041
  Atascadero,-0.869,0.387,"(-1.628, -0.111)",-2.25,0.025
  Athena,-0.88,0.405,"(-1.675, -0.086)",-2.17,0.03
  Athens,-0.728,0.401,"(-1.514, 0.058)",-1.82,0.069
  Atherton,-0.915,0.441,"(-1.779, -0.051)",-2.08,0.038
  Athol,-0.455,0.47,"(-1.376, 0.467)",-0.97,0.333
  Atkins,-0.781,0.47,"(-1.702, 0.141)",-1.66,0.097
  Atkinson,0.399,0.54,"(-0.659, 1.457)",0.74,0.46
  Atlanta,-1.164,0.383,"(-1.916, -0.412)",-3.04,0.002
  Atlantic City,-1.16,0.468,"(-2.078, -0.242)",-2.48,0.013
  Attalla,-1.02,0.541,"(-2.080, 0.039)",-1.89,0.059
  Attica,0.116,0.468,"(-0.803, 1.034)",0.25,0.805
  Attleboro,-0.511,0.421,"(-1.335, 0.314)",-1.21,0.225
  Atwater,-0.874,0.387,"(-1.632, -0.115)",-2.26,0.024
  Auberry,-0.829,0.539,"(-1.885, 0.228)",-1.54,0.124
  Auburn,-0.89,0.384,"(-1.643, -0.138)",-2.32,0.02
  Auburn Hills,-1.189,0.409,"(-1.990, -0.387)",-2.91,0.004
